# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-09-25T22:47:44Z · 4350 entries · 2588 proved this run
# Density: 168/600 of a random sample worked on re-check (28%, measured 2026-09-25) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://181.191.14.5:8080 | BR | 7678ms | 0d
http://186.26.92.180:58339 | BR | 2442ms | 0d
http://186.216.208.98:3128 | BR | 5681ms | 2d
http://186.250.202.104:8080 | BR | 5381ms | 0d
http://187.44.188.238:4040 | BR | 5620ms | 1d
http://187.72.72.209:5151 | BR | 5324ms | 1d
http://187.94.16.59:39665 | BR | 7723ms | 0d
http://187.94.220.85:8080 | BR | 3691ms | 1d
http://187.110.232.118:8080 | BR | 6913ms | 0d
http://189.50.45.46:1995 | BR | 3292ms | 0d
http://190.124.252.129:6666 | BR | 6019ms | 0d
http://200.142.97.66:3128 | BR | 7510ms | 0d
http://200.229.65.172:3128 | BR | 1067ms | 8d
http://200.229.76.160:3128 | BR | 4779ms | 0d
http://201.20.42.46:3128 | BR | 5435ms | 0d
http://201.65.173.178:8080 | BR | 7712ms | 1d
http://201.76.9.115:8080 | BR | 6686ms | 0d
http://83.143.24.66:80 | BW | 2872ms | 1d
http://15.223.187.219:55865 | CA | 2737ms | 1d
http://16.52.81.236:102 | CA | 2798ms | 1d
http://16.52.81.236:10735 | CA | 4512ms | 0d
http://16.52.81.236:30468 | CA | 1277ms | 1d
http://16.174.124.173:3851 | CA | 2289ms | 1d
http://35.182.12.78:13719 | CA | 4374ms | 1d
http://35.182.12.78:57895 | CA | 1218ms | 0d
http://35.183.29.62:38675 | CA | 6436ms | 0d
http://40.176.175.23:26204 | CA | 1441ms | 1d
http://40.176.175.23:35512 | CA | 2643ms | 1d
http://40.177.99.164:36433 | CA | 4725ms | 0d
http://40.177.104.199:48086 | CA | 1508ms | 0d
http://56.112.93.245:8142 | CA | 3147ms | 0d
http://144.217.82.40:8089 | CA | 400ms | 1d
http://184.75.221.82:3118 | CA | 858ms | 1d
http://198.245.60.202:3128 | CA | 354ms | 0d
http://16.18.22.211:36560 | CH | 2214ms | 1d
http://16.18.22.211:9090 | CH | 2105ms | 1d
http://16.18.37.186:18585 | CH | 1063ms | 0d
http://16.18.37.186:35431 | CH | 1341ms | 0d
http://16.18.37.186:55952 | CH | 1734ms | 1d
http://185.191.239.248:3128 | CH | 1593ms | 1d
http://185.195.71.218:18080 | CH | 1589ms | 1d
http://38.7.195.49:999 | CL | 6083ms | 1d
http://38.7.195.50:999 | CL | 2861ms | 8d
http://38.7.195.51:999 | CL | 4020ms | 0d
http://38.7.195.52:999 | CL | 2422ms | 3d
http://38.7.195.53:999 | CL | 3420ms | 0d
http://38.7.195.55:999 | CL | 6982ms | 1d
http://45.161.112.227:999 | CL | 2786ms | 1d
http://45.162.132.157:999 | CL | 4491ms | 0d
http://45.181.123.177:999 | CL | 1133ms | 4d
http://45.225.207.64:999 | CL | 5629ms | 0d
http://167.249.28.73:999 | CL | 7830ms | 1d
http://170.245.50.225:8080 | CL | 3572ms | 0d
http://186.10.150.185:8080 | CL | 6318ms | 0d
http://186.67.94.10:999 | CL | 4903ms | 0d
http://186.148.31.19:999 | CL | 5718ms | 0d
http://190.102.233.100:999 | CL | 3662ms | 1d
http://190.121.4.157:999 | CL | 7210ms | 0d
http://27.185.218.213:17981 | CN | 1501ms | 1d
http://36.137.204.11:8002 | CN | 6112ms | 2d
http://36.147.78.166:80 | CN | 1753ms | 1d
http://36.155.23.163:10808 | CN | 1009ms | 1d
http://39.106.165.196:8080 | CN | 1788ms | 0d
http://39.106.170.168:8080 | CN | 1699ms | 0d
http://47.95.206.224:45088 | CN | 5469ms | 0d
http://47.97.114.99:13357 | CN | 1341ms | 1d
http://47.99.133.254:8888 | CN | 3978ms | 0d
http://47.103.30.64:8080 | CN | 1301ms | 1d
http://47.107.107.24:80 | CN | 1610ms | 1d
http://47.110.226.74:19991 | CN | 6576ms | 1d
http://47.121.139.13:3128 | CN | 3877ms | 2d
http://61.149.132.196:8888 | CN | 5056ms | 1d
http://61.149.133.242:8888 | CN | 2518ms | 0d
http://61.149.134.158:8888 | CN | 3239ms | 1d
http://61.149.135.125:8888 | CN | 5983ms | 1d
http://101.251.204.174:8080 | CN | 1536ms | 4d
http://111.192.16.130:8888 | CN | 1623ms | 0d
http://111.192.16.206:8888 | CN | 7126ms | 1d
http://111.192.23.140:8888 | CN | 3188ms | 2d
http://111.196.26.27:8888 | CN | 1399ms | 0d
http://111.196.31.158:8888 | CN | 5556ms | 1d
http://111.200.188.89:8888 | CN | 2258ms | 0d
http://111.201.101.206:8888 | CN | 962ms | 2d
http://111.206.4.163:18888 | CN | 1525ms | 1d
http://111.230.27.213:3128 | CN | 2291ms | 1d
http://113.45.195.147:3128 | CN | 2812ms | 2d
http://114.244.214.18:8888 | CN | 4738ms | 0d
http://114.244.217.102:8888 | CN | 2246ms | 0d
http://114.244.221.178:8888 | CN | 1605ms | 0d
http://114.245.160.242:8888 | CN | 952ms | 1d
http://114.245.161.151:8888 | CN | 6731ms | 1d
http://114.246.193.183:8888 | CN | 3854ms | 0d
http://114.246.197.252:8888 | CN | 1017ms | 1d
http://114.246.204.134:8888 | CN | 5277ms | 0d
http://114.246.207.184:8888 | CN | 1673ms | 2d
http://114.246.207.186:8888 | CN | 1044ms | 2d
http://114.248.179.223:8888 | CN | 5495ms | 0d
http://114.249.213.204:8888 | CN | 998ms | 1d
http://114.249.219.180:8888 | CN | 1961ms | 0d
http://114.249.220.157:8888 | CN | 981ms | 1d
http://114.249.225.156:8888 | CN | 1283ms | 0d
http://114.249.230.202:8888 | CN | 951ms | 4d
http://114.249.232.222:8888 | CN | 7997ms | 1d
http://114.249.237.87:8888 | CN | 2135ms | 1d
http://114.250.192.17:8888 | CN | 1668ms | 1d
http://114.250.195.77:8888 | CN | 2001ms | 1d
http://114.252.12.37:8888 | CN | 2714ms | 1d
http://114.252.12.211:8888 | CN | 2334ms | 0d
http://114.252.13.224:8888 | CN | 983ms | 1d
http://114.252.15.106:8888 | CN | 2590ms | 1d
http://114.254.48.23:8888 | CN | 1664ms | 1d
http://114.254.49.43:8888 | CN | 1648ms | 1d
http://114.254.50.97:8888 | CN | 977ms | 1d
http://119.188.131.55:17981 | CN | 2607ms | 0d
http://120.76.101.238:8080 | CN | 2539ms | 0d
http://120.232.115.57:17981 | CN | 1246ms | 7d
http://120.232.115.170:17981 | CN | 1664ms | 1d
http://121.29.195.232:7890 | CN | 6128ms | 2d
http://122.246.3.12:17981 | CN | 1225ms | 1d
http://123.57.2.231:2020 | CN | 1322ms | 3d
http://123.57.94.90:8888 | CN | 1947ms | 0d
http://123.57.213.24:3539 | CN | 2386ms | 0d
http://123.60.155.1:3128 | CN | 3254ms | 0d
http://123.115.226.82:8888 | CN | 953ms | 5d
http://123.119.25.143:8888 | CN | 1374ms | 2d
http://123.119.176.120:8888 | CN | 980ms | 1d
http://123.119.177.72:8888 | CN | 1363ms | 1d
http://123.119.178.176:8888 | CN | 1332ms | 1d
http://123.119.179.34:8888 | CN | 1403ms | 0d
http://123.119.179.101:8888 | CN | 2405ms | 2d
http://123.119.179.161:8888 | CN | 1007ms | 3d
http://123.121.102.130:8888 | CN | 1378ms | 0d
http://123.121.113.161:8888 | CN | 1602ms | 2d
http://123.121.114.234:8888 | CN | 6003ms | 1d
http://123.121.120.130:8888 | CN | 6570ms | 0d
http://123.121.123.115:8888 | CN | 1271ms | 0d
http://123.121.123.216:8888 | CN | 2697ms | 0d
http://123.121.132.32:8888 | CN | 1575ms | 5d
http://123.121.142.252:8888 | CN | 981ms | 1d
http://123.121.208.55:8888 | CN | 1035ms | 1d
http://123.121.208.63:8888 | CN | 1006ms | 1d
http://123.121.210.208:8888 | CN | 5357ms | 0d
http://123.121.211.160:8888 | CN | 997ms | 2d
http://125.33.195.27:8888 | CN | 1329ms | 5d
http://139.159.97.82:10900 | CN | 1229ms | 0d
http://218.93.176.70:2088 | CN | 7138ms | 0d
http://218.207.164.174:7890 | CN | 4254ms | 1d
http://219.148.171.178:9445 | CN | 3190ms | 0d
http://221.221.144.75:8888 | CN | 1029ms | 1d
http://221.221.150.127:8888 | CN | 6582ms | 1d
http://221.221.154.156:8888 | CN | 1636ms | 3d
http://221.221.158.205:8888 | CN | 1366ms | 2d
http://221.221.159.97:8888 | CN | 6523ms | 1d
http://221.221.160.159:8888 | CN | 2862ms | 3d
http://221.221.162.189:8888 | CN | 1132ms | 1d
http://221.221.163.25:8888 | CN | 1071ms | 1d
http://221.221.163.120:8888 | CN | 1688ms | 1d
http://222.128.171.2:8888 | CN | 1402ms | 5d
http://222.128.172.158:8888 | CN | 2074ms | 0d
http://222.128.173.231:8888 | CN | 1905ms | 4d
http://223.85.21.195:8080 | CN | 7875ms | 0d
http://38.19.43.73:999 | CO | 4675ms | 1d
http://38.19.43.74:999 | CO | 4615ms | 0d
http://38.19.43.139:999 | CO | 4273ms | 0d
http://38.19.43.185:999 | CO | 2942ms | 0d
http://38.51.233.97:999 | CO | 2893ms | 0d
http://38.51.243.189:999 | CO | 5970ms | 0d
http://38.191.204.21:999 | CO | 3795ms | 0d
